Radios  Ck
598.165 393.177-450.792j
173.078 -8.429+172.872j
60.656 55.864-23.631j
118.358 -7.948-118.091j
33.712 -13.642+30.829j
37.211 -36.479+7.346j
1.909 0.724-1.766j
20.380 20.193-2.752j
17.580 -6.916+16.162j
13.373 5.256-12.296j
18.116 2.885-17.885j
28.320 -27.851+5.132j
8.121 7.844-2.104j
5.364 -2.212-4.887j
4.242 -3.344+2.610j
3.992 1.302+3.774j
2.867 -0.362-2.844j
8.578 -0.710+8.548j
5.386 0.376-5.373j
4.937 4.917+0.447j
1.752 -1.564+0.790j
0.677 0.248-0.630j
1.521 -0.829+1.275j
0.997 -0.977-0.202j
1.428 1.137+0.864j
1.918 -1.178+1.514j
3.182 -3.123-0.610j
0.659 0.597+0.278j
2.524 -1.120-2.262j
2.596 1.907+1.762j
2.314 -0.717-2.201j
1.379 0.458+1.301j
2.788 -1.270-2.482j
2.540 -2.126-1.390j
3.026 -0.524-2.980j
3.596 -2.622-2.461j
2.557 2.429-0.799j
1.570 -1.089-1.131j
0.512 0.504-0.094j
1.833 -1.387-1.198j
0.769 0.193-0.744j
1.582 0.316-1.550j
1.280 0.810-0.991j
0.192 -0.052-0.185j
0.997 0.255-0.964j
0.814 -0.752+0.310j
1.028 -0.468+0.915j
1.619 -1.589-0.308j
1.752 -1.752-0.030j
0.447 -0.305+0.327j
0.225 0.211+0.080j
0.541 -0.541+0.003j
0.701 -0.220+0.666j
0.826 -0.721+0.402j
1.147 -0.801+0.821j
0.928 -0.784+0.496j
0.688 -0.013-0.688j
0.322 0.299+0.119j
0.777 0.224+0.744j
0.246 -0.144-0.199j
0.651 0.296-0.580j
0.499 0.094-0.490j
0.362 -0.074-0.355j
0.430 -0.219-0.370j
0.407 0.305-0.270j
0.297 0.251-0.158j
0.352 0.107+0.335j
0.595 0.095+0.588j
0.608 0.454+0.404j
0.610 -0.270+0.546j
0.281 -0.035+0.279j
0.364 -0.358-0.069j
0.441 -0.295-0.328j
0.407 0.379-0.149j
0.499 0.203-0.456j
0.186 0.076-0.170j
0.098 0.076+0.062j
0.484 0.315+0.368j
0.659 0.434+0.497j
0.502 0.293+0.408j
0.210 0.178+0.112j
0.424 0.423-0.023j
0.697 0.068-0.694j
0.648 0.178-0.624j
0.511 0.286-0.424j
0.576 0.129-0.561j
0.519 0.482+0.193j
0.167 0.063-0.155j
0.330 -0.114-0.309j
0.152 -0.149-0.029j
0.083 0.024+0.080j
0.096 -0.064+0.071j
0.163 -0.052-0.154j
0.364 0.228+0.284j
0.354 0.207-0.288j
0.608 0.333+0.509j
0.282 0.282+0.016j
0.418 -0.256+0.330j
0.131 0.060-0.117j
0.458 -0.452-0.074j
0.452 0.165-0.421j
0.327 -0.247-0.214j
0.198 0.191+0.050j
0.240 -0.237+0.037j
0.339 0.178+0.288j
0.100 0.015-0.099j
0.401 0.106-0.387j
0.108 -0.099-0.045j
0.152 -0.127-0.084j
0.292 -0.184+0.227j
0.266 -0.035+0.264j
0.190 0.174+0.077j
0.381 0.243+0.293j
0.153 0.134+0.075j
0.256 0.253-0.039j
0.106 -0.026-0.102j
0.297 -0.294+0.041j
0.493 -0.393+0.299j
0.313 -0.003+0.313j
0.298 0.250+0.163j
0.236 0.156-0.177j
0.299 0.068-0.291j
0.343 0.083-0.333j
0.191 0.103-0.161j
0.373 0.366-0.070j
0.247 0.119-0.216j
0.185 -0.090-0.162j
0.159 -0.159-0.014j
0.197 -0.178+0.085j
0.246 -0.215+0.119j
0.139 -0.070+0.121j
0.210 -0.103+0.183j
0.089 -0.079+0.040j
0.124 -0.113+0.050j
0.110 0.010-0.109j
0.115 0.006-0.115j
0.092 -0.079-0.046j
0.198 -0.196+0.023j
0.330 -0.310+0.114j
0.082 -0.006+0.082j
0.113 0.113-0.007j
0.118 0.067-0.097j
0.178 0.096-0.150j
0.065 0.013-0.063j
0.047 0.047+0.001j
0.057 0.052+0.024j
0.090 0.085-0.029j
0.072 -0.046+0.056j
0.144 0.143+0.018j
0.042 -0.004-0.042j
0.100 -0.079-0.062j
0.127 -0.126-0.018j
0.146 -0.123+0.079j
0.065 -0.008+0.065j
0.136 -0.089-0.103j
0.079 0.015-0.078j
0.184 0.055-0.176j
0.159 0.109+0.116j
0.161 0.160-0.018j
0.182 0.161+0.086j
0.169 0.136-0.100j
0.180 -0.099+0.150j
0.080 -0.001-0.080j
0.150 -0.131+0.074j
0.087 0.081+0.032j
0.066 0.053-0.039j
0.119 0.119+0.003j
0.094 0.019-0.092j
0.220 0.217+0.034j
0.177 0.151+0.091j
0.164 0.108+0.124j
0.130 0.085+0.099j
0.107 0.015+0.106j
0.024 -0.017+0.017j
0.039 0.039-0.005j
0.048 -0.029-0.039j
0.092 0.048+0.079j
0.112 0.106+0.036j
0.111 0.054+0.096j
0.108 0.107-0.009j
0.106 0.098+0.040j
0.029 0.013+0.025j
0.015 0.012-0.009j
0.048 -0.030-0.037j
0.072 -0.041-0.059j
0.059 0.056+0.018j
0.101 0.078+0.064j
0.021 0.004+0.021j
0.023 0.018+0.015j
0.047 0.007-0.047j
0.074 0.046-0.057j
0.090 -0.010-0.089j
0.096 -0.093+0.020j
0.096 -0.080+0.054j
0.084 -0.078+0.030j
0.074 -0.065+0.034j
0.075 0.000-0.075j
0.061 -0.018-0.058j
0.019 -0.015-0.012j
0.102 0.001-0.102j
0.076 -0.005-0.076j
0.061 -0.027-0.055j
0.069 -0.056+0.039j
0.029 -0.003+0.029j
0.049 -0.048+0.009j
0.042 0.031-0.029j
0.075 0.043-0.062j
0.025 0.023+0.009j
0.010 0.007-0.007j
0.101 -0.096+0.031j
0.033 -0.033+0.000j
0.257 -0.153-0.206j
0.053 -0.026-0.046j
0.157 0.085-0.132j
0.066 -0.046-0.047j
0.302 -0.260-0.153j
0.051 -0.039-0.032j
0.134 0.003+0.134j
0.160 0.146+0.065j
